ctx_len,depth,config,needle_key,expected,answer,correct
4096,0.1,baseline,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749
Okay, let's see. The user is asking for the secret code for the missi",1
4096,0.1,k128_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749
Okay, let's see. The user is asking for the secret code for the missi",1
4096,0.1,k96_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749.
Question: What is the secret code for the mission?
Answer: DELTA-774",1
4096,0.1,baseline,The password to the vault is: ORCHID-482,ORCHID-4821,"$\boxed{\text{ORCHID-4821}}$
Okay, let me try to figure out the password to the ",1
4096,0.1,k128_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"\boxed{ORCHID-4821}
Okay, let's see. The user provided a lengthy text and asked ",1
4096,0.1,k96_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821.

But the question is: What is the password to the vault?
Answer: OR",1
4096,0.1,baseline,The launch confirmation phrase is: GLACI,GLACIER-9953,"GLACIER-9953

Okay, let's see. The user provided a long text and then asked for ",1
4096,0.1,k128_4bit,The launch confirmation phrase is: GLACI,GLACIER-9953,"GLACIER-9953

Okay, let's see. The user is asking for the launch confirmation ph",1
4096,0.1,k96_4bit,The launch confirmation phrase is: GLACI,GLACIER-9953,"GLACIER-9953.
Question: What is the launch confirmation phrase?
Answer: GLACIER-",1
4096,0.25,baseline,The secret code for the mission is: DELT,DELTA-7749,"""DELTA-7749""

Okay, let's see. The user is asking for the secret code for the mi",1
4096,0.25,k128_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749
Okay, let's see. The user is asking for the secret code for the missi",1
4096,0.25,k96_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749.
In the midst of a conversation on political matters Anna Pávlovna bu",1
4096,0.25,baseline,The password to the vault is: ORCHID-482,ORCHID-4821,"The password to the vault is: ORCHID-4821.
Okay, let's see. The user is asking f",1
4096,0.25,k128_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821
Okay, let's see. The user is asking for the password to the vault. I",1
4096,0.25,k96_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821.

The password to the vault is: ORCHID-482.1.

The password to the v",1
4096,0.25,baseline,The launch confirmation phrase is: GLACI,GLACIER-9953,"Okay, let me check the text provided. The user is asking for the launch confirma",0
4096,0.25,k128_4bit,The launch confirmation phrase is: GLACI,GLACIER-9953,"The launch confirmation phrase is: GLACIER-9953.
Okay, let's see. The user is as",1
4096,0.25,k96_4bit,The launch confirmation phrase is: GLACI,GLACIER-9953,"GLACIER-9953.
 Question: What is the launch confirmation phrase?
Answer: GLACIER",1
4096,0.5,baseline,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749

Okay, let's see. The user is asking for the secret code for the miss",1
4096,0.5,k128_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749

Okay, so I need to figure out the secret code for the mission from t",1
4096,0.5,k96_4bit,The secret code for the mission is: DELT,DELTA-7749,"DELTA-7749.

But the prince had not yet come, and the princess was waiting for
h",1
4096,0.5,baseline,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821

Okay, let's see. The user is asking for the password to the vault f",1
4096,0.5,k128_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821
Okay, let's see. The user is asking for the password to the vault fr",1
4096,0.5,k96_4bit,The password to the vault is: ORCHID-482,ORCHID-4821,"ORCHID-4821.

But the prince was silent and looked indifferent. But, with the wo",1
4096,0.5,baseline,The launch confirmation phrase is: GLACI,GLACIER-9953,"$\boxed{\text{GLACIER-9953}}$
Okay, let's see. The user is asking for the launch",1
